acctcd_n,age,atmuser,behave_scr,CARD_TYPE,CREDIT_LIM,currbal,delnum,ecomuser,CREDIT_SCORE,GENDER,hhincome,okmail,OPEN_DT,p_bankrupt,p_churn,p_revenue,p_risk,prodnum,ROC1,ROC12,ROC3,ROC6,SSN,t_asset,T_debt,T_debtserv,T_liab,writeoff,YEAR,ZIPCODE,account_id,_PartInd_
1,43,N,380,VISA,6000.00,3500.00,4,Y,615,M,140000.00,N,11-Aug-13,0.364138847,0.68648732,0.025313084,0.67001003,2,1,41,11,23,37625,1500.00,15200.00,608.00,16700.00,1,2013,92108,7891694488,1
1,30,N,500,VISA,3000.00,625.00,4,N,675,M,21000.00,Y,7-Mar-13,0.809296396,0.340145554,0.574720975,0.636419292,3,0,14,0,10,45699,15000.00,136500.00,9555.00,151500.00,1,2013,97211,1816266143,1
1,35,N,300,VISA,7000.00,5000.00,4,N,501,F,10000.00,N,19-Feb-13,0.079621693,0.202382941,0.641002317,0.886524813,4,3,62,13,32,102749,200000.00,0.00,0.00,8500.00,1,2013,90020,7747955424,1
1,45,N,420,VISA,6000.00,3500.00,0,N,708,F,55740.00,N,8-Mar-12,0.106505405,0.483520265,0.295012835,0.049042557,2,1,41,11,23,110692,300000.00,0.00,0.00,201500.00,0,2012,95114,4065329048,1
1,36,Y,380,MC,3000.00,575.00,4,N,550,F,26000.00,N,9-May-13,0.085718664,0.41336526,0.749541962,0.404835155,4,2,59,17,29,112833,7500.00,9200.00,368.00,16700.00,1,2013,94116,7511954190,0
1,59,N,420,VISA,3000.00,750.00,1,N,561,F,72000.00,N,30-Nov-13,0.20669921,0.06806312,0.637381165,0.360108986,4,1,41,11,23,120302,20000.00,0.00,0.00,8500.00,0,2013,92108,404401045,1
1,31,N,260,VISA,9000.00,6920.00,0,N,651,F,32000.00,Y,16-Jul-12,0.285661026,0.327841311,0.306751169,0.391111738,3,1,41,11,23,139666,1500.00,300000.00,15000.00,301500.00,0,2012,85032,6353977824,0
3,39,N,460,MC,5000.00,3450.00,2,N,726,M,31000.00,Y,8-Oct-12,0.987715017,0.765076527,0.876395772,0.431118792,4,1,41,11,23,149610,250000.00,51500.00,2575.00,301500.00,0,2012,84605,2188437461,1
1,34,Y,220,VISA,6000.00,4475.00,0,N,621,M,88000.00,N,17-Apr-12,0.544870356,0.769391106,0.157130731,0.606172231,1,4,71,20,34,153338,15000.00,236500.00,11825.00,251500.00,0,2012,85032,1572583584,0
1,45,N,380,MC,6000.00,3500.00,4,Y,579,M,37000.00,N,15-Dec-12,0.804548935,0.014701733,0.909625334,0.329930931,2,1,41,11,23,165907,20000.00,0.00,0.00,16700.00,1,2012,92110,4556638400,1
